nombre,consefion,dire,muni,long,lat,ccaa
Asamblea de Dios Ministerio de España,Evangélicos,Avenida Valvanera 13 Bajo,Calahorra,42.30481534085396,-1.9718711755919531,La Rioja
Asociación Musulmana de España,Musulmanes,Calle de Santa Lucía 14,Calahorra,42.30107797629358,-1.9546134179198826,La Rioja
Baha'i de Logroño,Baha'is,Calle Alcanadre 6 4ºC,Logroño,42.461907660084265,-2.419498917913243,La Rioja
Centro Budista Tibetano Ganden Chöeling Logroño,Budistas,Calle Marqués de Vallejo 6 1ªIzda.,Logroño,42.46590228909908,-2.445733389076998,La Rioja
Centro Islámico de Logroño Al Firdaus,Musulmanes,Calle Estéban Manuel Villegas 16 Bajo,Logroño,42.46661337337025,-2.4363585179130633,La Rioja
Centro Islámico Gulzar e Madina,Musulmanes,María Teresa Gil de Gárate 51 Bajo,Logroño,42.46008372047971,-2.450416731405027,La Rioja
Comunida Islámica de Hormilla Mezquita Altawba,Musulmanes,Calle Cuatro Cantones 20,Hormilla,42.4383910835388 ,-2.773776002569829,La Rioja
Comunidad Budista del Interser (Sangha del Camino),Budistas,Calle Villamediana 35 Bajo,Logroño,42.46035277420935,-2.4384188314050337,La Rioja
Comunidad Islámica Abu Bakr As-Siddiq de Igea (La Rioja),Musulmanes,Calle Solana 19,Igea,42.069164581706715,-2.009868402585004,La Rioja
Comunidad Islámica de Albelda Salam,Musulmanes,Plaza Javier Cámara 10 Bajos,Albelda de Iregua,42.35724349101235,-2.4726453025731634,La Rioja
Comunidad Islámica de Aldeanueva de Ebro,Musulmanes,Calle Portal 16,Aldeanueva de Ebro,42.23093642068431,-1.8871508449061576,La Rioja
Comunidad Islámica de Alfaro,Musulmanes,Calle Hospital Viejo 19,Alfaro,42.17830958826482,-1.7474569025805222,La Rioja
"Comunidad Islámica de Arnedo, Mezquita Rahma",Musulmanes,Calle San Miguel 55,Arnedo,42.22802495266927,-2.1042692886683874,La Rioja
"Comunidad Islámica de Autol, Mezquita de Autol",Musulmanes,Carretera de Arnedo 10,Autol,42.21317324401612,-2.006960489087392,La Rioja
Comunidad Islámica de Calahorra,Musulmanes,Calle Morcillón 10,Calahorra,42.301078093716626,-1.95684421791988,La Rioja
Comunidad Islámica de Calahorra Mezquita Essalam,Musulmanes,Calle Ramón Subirán 33 bajo,Calahorra,42.307447720435356,-1.970847288646326,La Rioja
"Comunidad Islámica de Casalarreina, Mezquita Attaubah",Musulmanes,Avenida La Rioja 38 Bajo,Casalarreina,42.54951125247897,-2.9095967448930207,La Rioja
Comunidad Islámica de Entrena Annor,Musulmanes,Calle de la Constitución 6 Bajo,Entrena,42.38666196251942,-2.527906987227561,La Rioja
Comunidad Islámica de Haro,Musulmanes,Calle de Navarra 13,Haro,42.577622175479256,-2.848507802564068,La Rioja
Comunidad Islámica de Jafria,Musulmanes,Calle Padre Marín 15 Bajo,Logroño,42.4652738617665 ,-2.4307215737326064,La Rioja
Comunidad Islámica de la Estrella (Logroño),Musulmanes,Calle Valderuga 19 Bajo,Logroño,42.45525556613639,-2.426319144896913,La Rioja
Comunidad Islámica de la Mezquita Manzanera de Logroño,Musulmanes,Calle de la Manzanera 14 Bajo,Logroño,42.46884482318807,-2.433777158388056,La Rioja
Comunidad Islámica de Logroño - Gulzare Madina Las Gaunas,Musulmanes,Av de España 8 Entreplanta Izq.,Logroño,42.4601692914977 ,-2.4452326327842826,La Rioja
Comunidad Islámica de Logroño Fezane Madina,Musulmanes,Calle Beatos Mena y Navarrete 42,Logroño,42.46680508617944,-2.4311618179130634,La Rioja
"Comunidad Islámica de Logroño, Mezquita Al-Huda",Musulmanes,Calle Beratúa 37 Bajo 1,Logroño,42.468003683254054,-2.457734973732488,La Rioja
Comunidad Islámica de Nájera Mezquita Al Rahman (CIA),Musulmanes,Avenida de la Sierra 36,Nájera,42.41457211085291,-2.7276748737347076,La Rioja
Comunidad Islámica de Pradejón (La Rioja),Musulmanes,Calle San Ponciano 6,Pradejón,42.3354620586662 ,-2.066260358393554,La Rioja
Comunidad Islámica de Quel Mezquita Alijlass-CIQI-,Musulmanes,Avenida de Santa Cruz 4 Local,Quel,42.228492770316365,-2.050731243053525,La Rioja
Comunidad Islámica de Rincón de Soto,Musulmanes,Calle Cascajuelo 13,Rincón de Soto,42.23448321309509,-1.8500809314143,La Rioja
Comunidad Islámica de Santo Domingo de la Calzada ,Musulmanes,Avenida Juan Carlos 64 Bajo,Santo Domingo de la Calzada,42.44022154280348,-2.9567276602419272,La Rioja
Comunidad Islámica Mezquita Minhaj-Ul-Quran,Musulmanes,Calle Manzanera 14 Bajo,Logroño,42.46883683481777,-2.4337235290764276,La Rioja
Comunidad Islámica Villar de Arnedo Mezquita el Mohsinin (CIVAM),Musulmanes,Calle los Ochoas 23 Bajo,El Villar de Arnedo,42.321044727715915,-2.094614160246847,La Rioja
